dataset_id,model_registry_entry,baseline_run_id,comparison_run_id,baseline_harness,comparison_harness,matched_rows,exact_label_accuracy_delta,monthly_rate_accuracy_delta,cost_delta_usd,total_token_delta,parse_validity_delta
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,direct_evidence_contract_n25_gold_seeded_2026_05_03,retrieval_field_extractors_n25_gold_seeded_2026_05_03,direct_evidence_contract,retrieval_field_extractors,25,,,0.0,10875,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,direct_full_contract_n25_gold_seeded_2026_05_03,retrieval_field_extractors_n25_gold_seeded_2026_05_03,direct_full_contract,retrieval_field_extractors,25,,,0.0,10875,0.0
synthetic_data_subset_1500,none,exect_lite_n25_2026_05_03,exect_v2_external_pending_n25_2026_05_03,exect_lite_cleanroom_baseline,exect_v2_external_baseline,25,-0.08000000000000002,-0.12,0.0,0,-1.0
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_modular,clines_epilepsy_verified,25,,,0.14859,75015,0.0
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,matrix_gpt-5_4-mini-2026-03-17_direct_evidence_contract,clines_epilepsy_modular,direct_evidence_contract,25,,,-0.04997399999999996,-46420,-0.19999999999999996
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,clines_epilepsy_modular,direct_full_contract,25,,,-0.04702649999999997,-46735,-0.16666666666666663
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,matrix_gpt-5_4-mini-2026-03-17_retrieval_field_extractors,clines_epilepsy_modular,retrieval_field_extractors,25,,,0.06378900000000004,50035,0.0
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,matrix_gpt-5_4-mini-2026-03-17_direct_evidence_contract,clines_epilepsy_verified,direct_evidence_contract,25,,,-0.19856399999999996,-121435,-0.19999999999999996
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,clines_epilepsy_verified,direct_full_contract,25,,,-0.19561649999999997,-121750,-0.16666666666666663
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,matrix_gpt-5_4-mini-2026-03-17_retrieval_field_extractors,clines_epilepsy_verified,retrieval_field_extractors,25,,,-0.08480099999999996,-24980,0.0
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_direct_evidence_contract,matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_evidence_contract,direct_full_contract,25,,,0.002947499999999992,-315,0.033333333333333326
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_direct_evidence_contract,matrix_gpt-5_4-mini-2026-03-17_retrieval_field_extractors,direct_evidence_contract,retrieval_field_extractors,25,,,0.113763,96455,0.19999999999999996
synthetic_data_subset_1500,gpt-5.4-mini-2026-03-17,matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,matrix_gpt-5_4-mini-2026-03-17_retrieval_field_extractors,direct_full_contract,retrieval_field_extractors,25,,,0.11081550000000001,96770,0.16666666666666663
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_modular,clines_epilepsy_verified,25,,,1.24814,130202,0.0
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,matrix_gpt-5_5-2026-04-23_direct_evidence_contract,clines_epilepsy_modular,direct_evidence_contract,25,,,-0.26122999999999996,-51274,-0.16666666666666663
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,matrix_gpt-5_5-2026-04-23_direct_full_contract,clines_epilepsy_modular,direct_full_contract,25,,,-0.13766499999999993,-43753,-0.16666666666666663
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,clines_epilepsy_modular,retrieval_field_extractors,25,,,0.27556,53396,0.0
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,matrix_gpt-5_5-2026-04-23_direct_evidence_contract,clines_epilepsy_verified,direct_evidence_contract,25,,,-1.50937,-181476,-0.16666666666666663
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,matrix_gpt-5_5-2026-04-23_direct_full_contract,clines_epilepsy_verified,direct_full_contract,25,,,-1.385805,-173955,-0.16666666666666663
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,clines_epilepsy_verified,retrieval_field_extractors,25,,,-0.97258,-76806,0.0
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_direct_evidence_contract,matrix_gpt-5_5-2026-04-23_direct_full_contract,direct_evidence_contract,direct_full_contract,25,,,0.12356500000000004,7521,0.0
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_direct_evidence_contract,matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,direct_evidence_contract,retrieval_field_extractors,25,,,0.53679,104670,0.16666666666666663
synthetic_data_subset_1500,gpt-5.5-2026-04-23,matrix_gpt-5_5-2026-04-23_direct_full_contract,matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,direct_full_contract,retrieval_field_extractors,25,,,0.41322499999999995,97149,0.16666666666666663
